sample_name,result_id,result_name,barcode_name,run_name,creation_day,analysis_protocol,edt_spank_k1137,ett_spank_k1137,index_correct,rhp_fq_readcount,edt_ac_meca,edt_ac_mecc,edt_ac_vana,edt_ac_vanb,edt_ac_kpc,edt_ac_ctxm,ett_ac_meca,ett_ac_mecc,ett_ac_vana,ett_ac_vanb,ett_ac_kpc,ett_ac_ctxm
ACA-101336,115591,ACA-101336-Lib1-1,NEB_E6440_G05,AR-6712,2023-09-15,AMR_1.0.1,5388.0,77973.0,12736021,1581902.0,853.0,,879.0,,356.0,2.0,68532.0,,65658.0,,29639.0,73.0
ACA-101336,115592,ACA-101336-Lib2-1,NEB_E6440_B03,AR-6712,2023-09-15,AMR_1.0.1,6077.0,101787.0,14165194,2422176.0,1166.0,,986.0,,478.0,1.0,119589.0,,100653.0,,52301.0,156.0
ACB-101337,115589,ACB-101337-Lib1-1,NEB_E6440_F05,AR-6712,2023-09-15,AMR_1.0.1,5208.0,74665.0,12501547,2720710.0,3.0,792.0,2.0,654.0,,889.0,78.0,60859.0,230.0,41188.0,,75572.0
ACB-101337,115590,ACB-101337-Lib2-1,NEB_E6440_C03,AR-6712,2023-09-15,AMR_1.0.1,4606.0,65610.0,11685620,3534829.0,5.0,946.0,1.0,692.0,,1012.0,461.0,86147.0,227.0,52774.0,,98627.0
NTC-103596,115594,NTC-103596-Lib1-1,NEB_E6440_A03,AR-6712,2023-09-15,AMR_1.0.1,7850.0,179435.0,17808722,896595.0,,,,,,5.0,,,,,,357.0
NTC-103597,115593,NTC-103597-Lib1-1,NEB_E6440_H05,AR-6712,2023-09-15,AMR_1.0.1,7311.0,118421.0,10602895,531614.0,1.0,,,,,3.0,85.0,,,,,319.0
ACA-101336,115878,ACA-101336-Lib3-1,NEB_E6440_C05,AR-6722,2023-09-19,AMR_1.0.1,1884.0,19215.0,8051486,940520.0,559.0,,508.0,,232.0,,38898.0,,32061.0,,14352.0,
ACA-101336,115879,ACA-101336-Lib4-1,NEB_E6440_B01,AR-6722,2023-09-19,AMR_1.0.1,2023.0,16088.0,4781328,708890.0,568.0,,548.0,,250.0,,30484.0,,28093.0,,11858.0,
ACA-102166,115874,ACA-102166-Lib1-1,NEB_E6440_G05,AR-6722,2023-09-19,AMR_1.0.1,3184.0,28030.0,9228962,635226.0,108.0,,112.0,,58.0,,6051.0,,5336.0,,2691.0,
ACA-102166,115875,ACA-102166-Lib2-1,NEB_E6440_E05,AR-6722,2023-09-19,AMR_1.0.1,3435.0,31576.0,10178052,747636.0,84.0,,106.0,,62.0,,4919.0,,5660.0,,3199.0,
ACB-101337,115876,ACB-101337-Lib3-1,NEB_E6440_B05,AR-6722,2023-09-19,AMR_1.0.1,2499.0,27548.0,10990647,2150455.0,,636.0,,531.0,,625.0,,42493.0,,26018.0,,49552.0
ACB-101337,115877,ACB-101337-Lib4-1,NEB_E6440_C01,AR-6722,2023-09-19,AMR_1.0.1,2383.0,21391.0,7090651,1846726.0,2.0,619.0,,466.0,,642.0,110.0,34080.0,,20323.0,,48343.0
ACB-102167,115872,ACB-102167-Lib1-1,NEB_E6440_H05,AR-6722,2023-09-19,AMR_1.0.1,3183.0,24791.0,7886671,1260133.0,,58.0,,69.0,,83.0,,2463.0,,2383.0,,5098.0
ACB-102167,115873,ACB-102167-Lib2-1,NEB_E6440_F05,AR-6722,2023-09-19,AMR_1.0.1,3203.0,33309.0,12033016,1641561.0,,60.0,,65.0,,78.0,,3500.0,,2453.0,,4973.0
NTC-103911,115881,NTC-103911-Lib1-1,NEB_E6440_A01,AR-6722,2023-09-19,AMR_1.0.1,4224.0,35126.0,4948627,273299.0,,,,,,,,,,,,
NTC-103912,115880,NTC-103912-Lib1-1,NEB_E6440_D05,AR-6722,2023-09-19,AMR_1.0.1,4022.0,39462.0,7562659,330444.0,,,,,,,,,,,,
ACA-101336,116089,ACA-101336-Lib5-1,NEB_E6440_G08,AR-6728,2023-09-21,AMR_1.0.1,2840.0,23135.0,9460923,981765.0,639.0,,681.0,,288.0,1.0,38419.0,,32298.0,,15818.0,28.0
